TEAM,SPIKES,FAULTS,SHOTS,TOTAL_ATTEMPTS
ARG, 0.497854, 0.141018, 0.361128, 1631.000000 
IRI, 0.497254, 0.140940, 0.361806, 1639.000000 
BRA, 0.529883, 0.157951, 0.312166, 1874.000000 
CAN, 0.493106, 0.152988, 0.353907, 1523.000000 
JPN, 0.479486, 0.160441, 0.360073, 1633.000000 
RUS, 0.522992, 0.163703, 0.313305, 1631.000000 
ITA, 0.482085, 0.156352, 0.361564, 1535.000000 
BUL, 0.475261, 0.176307, 0.348432, 1435.000000 
FRA, 0.480207, 0.183018, 0.336776, 1743.000000 
GER, 0.467713, 0.162342, 0.369946, 1657.000000 
AUS, 0.462707, 0.185083, 0.352210, 1448.000000 
POR, 0.456554, 0.179676, 0.363770, 1358.000000 
CHN, 0.450853, 0.163282, 0.385865, 1231.000000 
USA, 0.499727, 0.156745, 0.343528, 1831.000000 
SRB, 0.496109, 0.158236, 0.345655, 1542.000000 
POL, 0.487627, 0.144590, 0.367783, 2061.000000 
