RANK,SHIRTNUMBER,NAME,TEAM,SPIKES,FAULTS,SHOTS,TOTAL ATTEMPTS,SUCCESS %
22,7,Petar Krsmanovic,SRB,21,63,54,138,0.33
28,5,Lazar Cirovic,SRB,19,36,21,76,0.30
48,1,Aleksandar Okolic,SRB,16,48,36,100,0.25
59,23,Bozidar Vucicevic,SRB,14,16,17,47,0.22
77,13,Stevan Simic,SRB,12,36,24,72,0.19
96,20,Srecko Lisinac,SRB,10,24,22,56,0.16
139,3,Milan Katic,SRB,6,14,11,31,0.09
151,8,Marko Ivovic,SRB,5,4,5,14,0.08
165,10,Miran Kujundžić,SRB,4,19,10,33,0.06
166,12,Dusan Petkovic,SRB,4,15,16,35,0.06
167,16,Drazen Luburic,SRB,4,9,17,30,0.06
181,9,Nikola Jovovic,SRB,3,17,9,29,0.05
182,15,Nemanja Masulovic,SRB,3,4,3,10,0.05
183,21,Vuk Todorovic,SRB,3,19,14,36,0.05
227,27,Stefan Kovacevic,SRB,1,4,4,9,0.02
250,4,Nemanja Petric,SRB,0,6,10,16,
251,11,Aleksa Batak,SRB,0,2,1,3,
252,22,Andrija Vilimanovic,SRB,0,4,4,8,
253,24,David Mehic,SRB,0,13,8,21,
