TEAM,DIGS,FAULTS,RECEPTIONS,TOTAL_ATTEMPTS
ARG, 0.530612, 0.203061, 0.266327, 980.000000 
ITA, 0.506550, 0.219432, 0.274017, 916.000000 
AUS, 0.481622, 0.238276, 0.280101, 789.000000 
GER, 0.492188, 0.213170, 0.294643, 896.000000 
FRA, 0.523671, 0.183575, 0.292754, 1035.000000 
IRI, 0.546488, 0.175620, 0.277893, 968.000000 
RUS, 0.551391, 0.224909, 0.223700, 827.000000 
JPN, 0.500000, 0.194215, 0.305785, 968.000000 
BRA, 0.559641, 0.191031, 0.249327, 1115.000000 
POR, 0.450135, 0.262803, 0.287062, 742.000000 
SRB, 0.451276, 0.261021, 0.287703, 862.000000 
USA, 0.504892, 0.197652, 0.297456, 1022.000000 
CAN, 0.498375, 0.237270, 0.264355, 923.000000 
CHN, 0.414439, 0.306150, 0.279412, 748.000000 
POL, 0.477612, 0.249585, 0.272803, 1206.000000 
BUL, 0.478088, 0.220452, 0.301461, 753.000000 
