RANK,SHIRTNUMBER,NAME,TEAM,EXCELLENTS,FAULTS,SERVE_RECEPTIONS,TOTAL ATTEMPTS,EFFICIENCY
1,4,Thales Hoss,BRA,104,23,231,358,22.63
29,18,Ricardo Lucarelli Souza,BRA,30,19,213,262,4.20
30,9,Yoandy Leal Hidalgo,BRA,31,27,283,341,1.17
51,1,Bruno Mossa Rezende,BRA,0,1,5,6,
52,2,Isac Santos,BRA,0,0,2,2,
53,3,Eder Carbonera,BRA,0,1,0,1,
54,5,Lucas Eduardo Loh,BRA,1,1,12,14,
55,6,Fernando Gil Kreling,BRA,0,0,1,1,
56,8,Wallace De Souza,BRA,0,0,3,3,
57,13,Mauricio Luiz De Souza,BRA,3,0,7,10,
58,14,Douglas Correia De Souza,BRA,35,19,153,207,
59,16,Lucas Saatkamp,BRA,0,0,3,3,
60,19,Mauricio Borges Almeida Silva,BRA,16,3,45,64,
61,21,Alan Souza,BRA,1,1,0,2,
62,23,Flavio Gualberto,BRA,4,0,6,10,
