TEAM,ATTACKS,BLOCKS,SERVES,TOTAL_ATTEMPTS
IRI, 0.782150, 0.142035, 0.075816, 1042.000000 
JPN, 0.819038, 0.088912, 0.092050, 956.000000 
BRA, 0.800161, 0.127317, 0.072522, 1241.000000 
GER, 0.811518, 0.101571, 0.086911, 955.000000 
ARG, 0.821862, 0.121457, 0.056680, 988.000000 
RUS, 0.739809, 0.163920, 0.096271, 1153.000000 
AUS, 0.763098, 0.125285, 0.111617, 878.000000 
CHN, 0.768698, 0.162050, 0.069252, 722.000000 
POR, 0.801034, 0.127907, 0.071059, 774.000000 
FRA, 0.804035, 0.135447, 0.060519, 1041.000000 
CAN, 0.781478, 0.149844, 0.068678, 961.000000 
BUL, 0.790267, 0.144844, 0.064890, 863.000000 
ITA, 0.778947, 0.141053, 0.080000, 950.000000 
USA, 0.762500, 0.150000, 0.087500, 1200.000000 
POL, 0.761364, 0.169697, 0.068939, 1320.000000 
SRB, 0.789474, 0.128999, 0.081527, 969.000000 
